Ticker,Code,Name
AXP,GOOG/NYSE_AXP,American Express
BA,GOOG/NYSE_BA,Boeing
CAT,GOOG/NYSE_CAT,Caterpillar
CSCO,GOOG/NASDAQ_CSCO,Cisco Systems
CVX,GOOG/NYSE_CVX,Chevron
DD,GOOG/NYSE_DD,DuPont
DIS,GOOG/NYSE_DIS,Walt Disney
GE,GOOG/NYSE_GE,General Electric
GS,GOOG/NYSE_GS,Goldman Sachs
HD,GOOG/NYSE_HD,The Home Depot
IBM,GOOG/NYSE_IBM,IBM
INTC,GOOG/NASDAQ_INTC,Intel
JNJ,GOOG/NYSE_JNJ,Johnson & Johnson
JPM,GOOG/NYSE_JPM,JPMorgan Chase
KO,GOOG/NYSE_KO,Coca-Cola
MCD,GOOG/NYSE_MCD,McDonald's
MMM,GOOG/NYSE_MMM,3M
MRK,GOOG/NYSE_MRK,Merck
MSFT,GOOG/NASDAQ_MSFT,Microsoft
NKE,GOOG/NYSE_NKE,Nike
PFE,GOOG/NYSE_PFE,Pfizer
PG,GOOG/NYSE_PG,Procter & Gamble
T,GOOG/NASDAQ_T,AT&T
TRV,GOOG/NYSE_TRV,Travelers
UNH,GOOG/NYSE_UNH,UnitedHealth Group
UTX,GOOG/NYSE_UTX,United Technologies
V,GOOG/NYSE_V,Visa
VZ,GOOG/NYSE_VZ,Verizon
WMT,GOOG/NYSE_WMT,Wal-Mart
XOM,GOOG/NYSE_XOM,ExxonMobil
